Data From,Data To,Quarter,State,Year
1514745000000.0,1522175400000.0,1,andaman-&-nicobar-islands,2018
1522521000000.0,1530124200000.0,2,andaman-&-nicobar-islands,2018
1530383400000.0,1538073000000.0,3,andaman-&-nicobar-islands,2018
1538332200000.0,1545935400000.0,4,andaman-&-nicobar-islands,2018
1546281000000.0,1553711400000.0,1,andaman-&-nicobar-islands,2019
1554057000000.0,1561660200000.0,2,andaman-&-nicobar-islands,2019
1561919400000.0,1569609000000.0,3,andaman-&-nicobar-islands,2019
1569868200000.0,1577471400000.0,4,andaman-&-nicobar-islands,2019
1577817000000.0,1585333800000.0,1,andaman-&-nicobar-islands,2020
1585679400000.0,1593282600000.0,2,andaman-&-nicobar-islands,2020
1593541800000.0,1601231400000.0,3,andaman-&-nicobar-islands,2020
1601490600000.0,1609093800000.0,4,andaman-&-nicobar-islands,2020
1609439400000.0,1616869800000.0,1,andaman-&-nicobar-islands,2021
1617215400000.0,1624818600000.0,2,andaman-&-nicobar-islands,2021
1625077800000.0,1632767400000.0,3,andaman-&-nicobar-islands,2021
1633026600000.0,1640629800000.0,4,andaman-&-nicobar-islands,2021
1640975400000.0,1648405800000.0,1,andaman-&-nicobar-islands,2022
1648751400000.0,1656354600000.0,2,andaman-&-nicobar-islands,2022
1656613800000.0,1664303400000.0,3,andaman-&-nicobar-islands,2022
1664562600000.0,1672165800000.0,4,andaman-&-nicobar-islands,2022
1514745000000.0,1522175400000.0,1,andhra-pradesh,2018
1522521000000.0,1530124200000.0,2,andhra-pradesh,2018
1530383400000.0,1538073000000.0,3,andhra-pradesh,2018
1538332200000.0,1545935400000.0,4,andhra-pradesh,2018
1546281000000.0,1553711400000.0,1,andhra-pradesh,2019
1554057000000.0,1561660200000.0,2,andhra-pradesh,2019
1561919400000.0,1569609000000.0,3,andhra-pradesh,2019
1569868200000.0,1577471400000.0,4,andhra-pradesh,2019
1577817000000.0,1585333800000.0,1,andhra-pradesh,2020
1585679400000.0,1593282600000.0,2,andhra-pradesh,2020
1593541800000.0,1601231400000.0,3,andhra-pradesh,2020
1601490600000.0,1609093800000.0,4,andhra-pradesh,2020
1609439400000.0,1616869800000.0,1,andhra-pradesh,2021
1617215400000.0,1624818600000.0,2,andhra-pradesh,2021
1625077800000.0,1632767400000.0,3,andhra-pradesh,2021
1633026600000.0,1640629800000.0,4,andhra-pradesh,2021
1640975400000.0,1648405800000.0,1,andhra-pradesh,2022
1648751400000.0,1656354600000.0,2,andhra-pradesh,2022
1656613800000.0,1664303400000.0,3,andhra-pradesh,2022
1664562600000.0,1672165800000.0,4,andhra-pradesh,2022
1514745000000.0,1522175400000.0,1,arunachal-pradesh,2018
1522521000000.0,1530124200000.0,2,arunachal-pradesh,2018
1530383400000.0,1538073000000.0,3,arunachal-pradesh,2018
1538332200000.0,1545935400000.0,4,arunachal-pradesh,2018
1546281000000.0,1553711400000.0,1,arunachal-pradesh,2019
1554057000000.0,1561660200000.0,2,arunachal-pradesh,2019
1561919400000.0,1569609000000.0,3,arunachal-pradesh,2019
1569868200000.0,1577471400000.0,4,arunachal-pradesh,2019
1577817000000.0,1585333800000.0,1,arunachal-pradesh,2020
1585679400000.0,1593282600000.0,2,arunachal-pradesh,2020
1593541800000.0,1601231400000.0,3,arunachal-pradesh,2020
1601490600000.0,1609093800000.0,4,arunachal-pradesh,2020
1609439400000.0,1616869800000.0,1,arunachal-pradesh,2021
1617215400000.0,1624818600000.0,2,arunachal-pradesh,2021
1625077800000.0,1632767400000.0,3,arunachal-pradesh,2021
1633026600000.0,1640629800000.0,4,arunachal-pradesh,2021
1640975400000.0,1648405800000.0,1,arunachal-pradesh,2022
1648751400000.0,1656354600000.0,2,arunachal-pradesh,2022
1656613800000.0,1664303400000.0,3,arunachal-pradesh,2022
1664562600000.0,1672165800000.0,4,arunachal-pradesh,2022
1514745000000.0,1522175400000.0,1,assam,2018
1522521000000.0,1530124200000.0,2,assam,2018
1530383400000.0,1538073000000.0,3,assam,2018
1538332200000.0,1545935400000.0,4,assam,2018
1546281000000.0,1553711400000.0,1,assam,2019
1554057000000.0,1561660200000.0,2,assam,2019
1561919400000.0,1569609000000.0,3,assam,2019
1569868200000.0,1577471400000.0,4,assam,2019
1577817000000.0,1585333800000.0,1,assam,2020
1585679400000.0,1593282600000.0,2,assam,2020
1593541800000.0,1601231400000.0,3,assam,2020
1601490600000.0,1609093800000.0,4,assam,2020
1609439400000.0,1616869800000.0,1,assam,2021
1617215400000.0,1624818600000.0,2,assam,2021
1625077800000.0,1632767400000.0,3,assam,2021
1633026600000.0,1640629800000.0,4,assam,2021
1640975400000.0,1648405800000.0,1,assam,2022
1648751400000.0,1656354600000.0,2,assam,2022
1656613800000.0,1664303400000.0,3,assam,2022
1664562600000.0,1672165800000.0,4,assam,2022
1514745000000.0,1522175400000.0,1,bihar,2018
1522521000000.0,1530124200000.0,2,bihar,2018
1530383400000.0,1538073000000.0,3,bihar,2018
1538332200000.0,1545935400000.0,4,bihar,2018
1546281000000.0,1553711400000.0,1,bihar,2019
1554057000000.0,1561660200000.0,2,bihar,2019
1561919400000.0,1569609000000.0,3,bihar,2019
1569868200000.0,1577471400000.0,4,bihar,2019
1577817000000.0,1585333800000.0,1,bihar,2020
1585679400000.0,1593282600000.0,2,bihar,2020
1593541800000.0,1601231400000.0,3,bihar,2020
1601490600000.0,1609093800000.0,4,bihar,2020
1609439400000.0,1616869800000.0,1,bihar,2021
1617215400000.0,1624818600000.0,2,bihar,2021
1625077800000.0,1632767400000.0,3,bihar,2021
1633026600000.0,1640629800000.0,4,bihar,2021
1640975400000.0,1648405800000.0,1,bihar,2022
1648751400000.0,1656354600000.0,2,bihar,2022
1656613800000.0,1664303400000.0,3,bihar,2022
1664562600000.0,1672165800000.0,4,bihar,2022
1514745000000.0,1522175400000.0,1,chandigarh,2018
1522521000000.0,1530124200000.0,2,chandigarh,2018
1530383400000.0,1538073000000.0,3,chandigarh,2018
1538332200000.0,1545935400000.0,4,chandigarh,2018
1546281000000.0,1553711400000.0,1,chandigarh,2019
1554057000000.0,1561660200000.0,2,chandigarh,2019
1561919400000.0,1569609000000.0,3,chandigarh,2019
1569868200000.0,1577471400000.0,4,chandigarh,2019
1577817000000.0,1585333800000.0,1,chandigarh,2020
1585679400000.0,1593282600000.0,2,chandigarh,2020
1593541800000.0,1601231400000.0,3,chandigarh,2020
1601490600000.0,1609093800000.0,4,chandigarh,2020
1609439400000.0,1616869800000.0,1,chandigarh,2021
1617215400000.0,1624818600000.0,2,chandigarh,2021
1625077800000.0,1632767400000.0,3,chandigarh,2021
1633026600000.0,1640629800000.0,4,chandigarh,2021
1640975400000.0,1648405800000.0,1,chandigarh,2022
1648751400000.0,1656354600000.0,2,chandigarh,2022
1656613800000.0,1664303400000.0,3,chandigarh,2022
1664562600000.0,1672165800000.0,4,chandigarh,2022
1514745000000.0,1522175400000.0,1,chhattisgarh,2018
1522521000000.0,1530124200000.0,2,chhattisgarh,2018
1530383400000.0,1538073000000.0,3,chhattisgarh,2018
1538332200000.0,1545935400000.0,4,chhattisgarh,2018
1546281000000.0,1553711400000.0,1,chhattisgarh,2019
1554057000000.0,1561660200000.0,2,chhattisgarh,2019
1561919400000.0,1569609000000.0,3,chhattisgarh,2019
1569868200000.0,1577471400000.0,4,chhattisgarh,2019
1577817000000.0,1585333800000.0,1,chhattisgarh,2020
1585679400000.0,1593282600000.0,2,chhattisgarh,2020
1593541800000.0,1601231400000.0,3,chhattisgarh,2020
1601490600000.0,1609093800000.0,4,chhattisgarh,2020
1609439400000.0,1616869800000.0,1,chhattisgarh,2021
1617215400000.0,1624818600000.0,2,chhattisgarh,2021
1625077800000.0,1632767400000.0,3,chhattisgarh,2021
1633026600000.0,1640629800000.0,4,chhattisgarh,2021
1640975400000.0,1648405800000.0,1,chhattisgarh,2022
1648751400000.0,1656354600000.0,2,chhattisgarh,2022
1656613800000.0,1664303400000.0,3,chhattisgarh,2022
1664562600000.0,1672165800000.0,4,chhattisgarh,2022
1514745000000.0,1522175400000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2018
1522521000000.0,1530124200000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2018
1530383400000.0,1538073000000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2018
1538332200000.0,1545935400000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2018
1546281000000.0,1553711400000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2019
1554057000000.0,1561660200000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2019
1561919400000.0,1569609000000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2019
1569868200000.0,1577471400000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2019
1577817000000.0,1585333800000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2020
1585679400000.0,1593282600000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2020
1593541800000.0,1601231400000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2020
1601490600000.0,1609093800000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2020
1609439400000.0,1616869800000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2021
1617215400000.0,1624818600000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2021
1625077800000.0,1632767400000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2021
1633026600000.0,1640629800000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2021
1640975400000.0,1648405800000.0,1,dadra-&-nagar-haveli-&-daman-&-diu,2022
1648751400000.0,1656354600000.0,2,dadra-&-nagar-haveli-&-daman-&-diu,2022
1656613800000.0,1664303400000.0,3,dadra-&-nagar-haveli-&-daman-&-diu,2022
1664562600000.0,1672165800000.0,4,dadra-&-nagar-haveli-&-daman-&-diu,2022
1514745000000.0,1522175400000.0,1,delhi,2018
1522521000000.0,1530124200000.0,2,delhi,2018
1530383400000.0,1538073000000.0,3,delhi,2018
1538332200000.0,1545935400000.0,4,delhi,2018
1546281000000.0,1553711400000.0,1,delhi,2019
1554057000000.0,1561660200000.0,2,delhi,2019
1561919400000.0,1569609000000.0,3,delhi,2019
1569868200000.0,1577471400000.0,4,delhi,2019
1577817000000.0,1585333800000.0,1,delhi,2020
1585679400000.0,1593282600000.0,2,delhi,2020
1593541800000.0,1601231400000.0,3,delhi,2020
1601490600000.0,1609093800000.0,4,delhi,2020
1609439400000.0,1616869800000.0,1,delhi,2021
1617215400000.0,1624818600000.0,2,delhi,2021
1625077800000.0,1632767400000.0,3,delhi,2021
1633026600000.0,1640629800000.0,4,delhi,2021
1640975400000.0,1648405800000.0,1,delhi,2022
1648751400000.0,1656354600000.0,2,delhi,2022
1656613800000.0,1664303400000.0,3,delhi,2022
1664562600000.0,1672165800000.0,4,delhi,2022
1514745000000.0,1522175400000.0,1,goa,2018
1522521000000.0,1530124200000.0,2,goa,2018
1530383400000.0,1538073000000.0,3,goa,2018
1538332200000.0,1545935400000.0,4,goa,2018
1546281000000.0,1553711400000.0,1,goa,2019
1554057000000.0,1561660200000.0,2,goa,2019
1561919400000.0,1569609000000.0,3,goa,2019
1569868200000.0,1577471400000.0,4,goa,2019
1577817000000.0,1585333800000.0,1,goa,2020
1585679400000.0,1593282600000.0,2,goa,2020
1593541800000.0,1601231400000.0,3,goa,2020
1601490600000.0,1609093800000.0,4,goa,2020
1609439400000.0,1616869800000.0,1,goa,2021
1617215400000.0,1624818600000.0,2,goa,2021
1625077800000.0,1632767400000.0,3,goa,2021
1633026600000.0,1640629800000.0,4,goa,2021
1640975400000.0,1648405800000.0,1,goa,2022
1648751400000.0,1656354600000.0,2,goa,2022
1656613800000.0,1664303400000.0,3,goa,2022
1664562600000.0,1672165800000.0,4,goa,2022
1514745000000.0,1522175400000.0,1,gujarat,2018
1522521000000.0,1530124200000.0,2,gujarat,2018
1530383400000.0,1538073000000.0,3,gujarat,2018
1538332200000.0,1545935400000.0,4,gujarat,2018
1546281000000.0,1553711400000.0,1,gujarat,2019
1554057000000.0,1561660200000.0,2,gujarat,2019
1561919400000.0,1569609000000.0,3,gujarat,2019
1569868200000.0,1577471400000.0,4,gujarat,2019
1577817000000.0,1585333800000.0,1,gujarat,2020
1585679400000.0,1593282600000.0,2,gujarat,2020
1593541800000.0,1601231400000.0,3,gujarat,2020
1601490600000.0,1609093800000.0,4,gujarat,2020
1609439400000.0,1616869800000.0,1,gujarat,2021
1617215400000.0,1624818600000.0,2,gujarat,2021
1625077800000.0,1632767400000.0,3,gujarat,2021
1633026600000.0,1640629800000.0,4,gujarat,2021
1640975400000.0,1648405800000.0,1,gujarat,2022
1648751400000.0,1656354600000.0,2,gujarat,2022
1656613800000.0,1664303400000.0,3,gujarat,2022
1664562600000.0,1672165800000.0,4,gujarat,2022
1514745000000.0,1522175400000.0,1,haryana,2018
1522521000000.0,1530124200000.0,2,haryana,2018
1530383400000.0,1538073000000.0,3,haryana,2018
1538332200000.0,1545935400000.0,4,haryana,2018
1546281000000.0,1553711400000.0,1,haryana,2019
1554057000000.0,1561660200000.0,2,haryana,2019
1561919400000.0,1569609000000.0,3,haryana,2019
1569868200000.0,1577471400000.0,4,haryana,2019
1577817000000.0,1585333800000.0,1,haryana,2020
1585679400000.0,1593282600000.0,2,haryana,2020
1593541800000.0,1601231400000.0,3,haryana,2020
1601490600000.0,1609093800000.0,4,haryana,2020
1609439400000.0,1616869800000.0,1,haryana,2021
1617215400000.0,1624818600000.0,2,haryana,2021
1625077800000.0,1632767400000.0,3,haryana,2021
1633026600000.0,1640629800000.0,4,haryana,2021
1640975400000.0,1648405800000.0,1,haryana,2022
1648751400000.0,1656354600000.0,2,haryana,2022
1656613800000.0,1664303400000.0,3,haryana,2022
1664562600000.0,1672165800000.0,4,haryana,2022
1514745000000.0,1522175400000.0,1,himachal-pradesh,2018
1522521000000.0,1530124200000.0,2,himachal-pradesh,2018
1530383400000.0,1538073000000.0,3,himachal-pradesh,2018
1538332200000.0,1545935400000.0,4,himachal-pradesh,2018
1546281000000.0,1553711400000.0,1,himachal-pradesh,2019
1554057000000.0,1561660200000.0,2,himachal-pradesh,2019
1561919400000.0,1569609000000.0,3,himachal-pradesh,2019
1569868200000.0,1577471400000.0,4,himachal-pradesh,2019
1577817000000.0,1585333800000.0,1,himachal-pradesh,2020
1585679400000.0,1593282600000.0,2,himachal-pradesh,2020
1593541800000.0,1601231400000.0,3,himachal-pradesh,2020
1601490600000.0,1609093800000.0,4,himachal-pradesh,2020
1609439400000.0,1616869800000.0,1,himachal-pradesh,2021
1617215400000.0,1624818600000.0,2,himachal-pradesh,2021
1625077800000.0,1632767400000.0,3,himachal-pradesh,2021
1633026600000.0,1640629800000.0,4,himachal-pradesh,2021
1640975400000.0,1648405800000.0,1,himachal-pradesh,2022
1648751400000.0,1656354600000.0,2,himachal-pradesh,2022
1656613800000.0,1664303400000.0,3,himachal-pradesh,2022
1664562600000.0,1672165800000.0,4,himachal-pradesh,2022
1514745000000.0,1522175400000.0,1,jammu-&-kashmir,2018
1522521000000.0,1530124200000.0,2,jammu-&-kashmir,2018
1530383400000.0,1538073000000.0,3,jammu-&-kashmir,2018
1538332200000.0,1545935400000.0,4,jammu-&-kashmir,2018
1546281000000.0,1553711400000.0,1,jammu-&-kashmir,2019
1554057000000.0,1561660200000.0,2,jammu-&-kashmir,2019
1561919400000.0,1569609000000.0,3,jammu-&-kashmir,2019
1569868200000.0,1577471400000.0,4,jammu-&-kashmir,2019
1577817000000.0,1585333800000.0,1,jammu-&-kashmir,2020
1585679400000.0,1593282600000.0,2,jammu-&-kashmir,2020
1593541800000.0,1601231400000.0,3,jammu-&-kashmir,2020
1601490600000.0,1609093800000.0,4,jammu-&-kashmir,2020
1609439400000.0,1616869800000.0,1,jammu-&-kashmir,2021
1617215400000.0,1624818600000.0,2,jammu-&-kashmir,2021
1625077800000.0,1632767400000.0,3,jammu-&-kashmir,2021
1633026600000.0,1640629800000.0,4,jammu-&-kashmir,2021
1640975400000.0,1648405800000.0,1,jammu-&-kashmir,2022
1648751400000.0,1656354600000.0,2,jammu-&-kashmir,2022
1656613800000.0,1664303400000.0,3,jammu-&-kashmir,2022
1664562600000.0,1672165800000.0,4,jammu-&-kashmir,2022
1514745000000.0,1522175400000.0,1,jharkhand,2018
1522521000000.0,1530124200000.0,2,jharkhand,2018
1530383400000.0,1538073000000.0,3,jharkhand,2018
1538332200000.0,1545935400000.0,4,jharkhand,2018
1546281000000.0,1553711400000.0,1,jharkhand,2019
1554057000000.0,1561660200000.0,2,jharkhand,2019
1561919400000.0,1569609000000.0,3,jharkhand,2019
1569868200000.0,1577471400000.0,4,jharkhand,2019
1577817000000.0,1585333800000.0,1,jharkhand,2020
1585679400000.0,1593282600000.0,2,jharkhand,2020
1593541800000.0,1601231400000.0,3,jharkhand,2020
1601490600000.0,1609093800000.0,4,jharkhand,2020
1609439400000.0,1616869800000.0,1,jharkhand,2021
1617215400000.0,1624818600000.0,2,jharkhand,2021
1625077800000.0,1632767400000.0,3,jharkhand,2021
1633026600000.0,1640629800000.0,4,jharkhand,2021
1640975400000.0,1648405800000.0,1,jharkhand,2022
1648751400000.0,1656354600000.0,2,jharkhand,2022
1656613800000.0,1664303400000.0,3,jharkhand,2022
1664562600000.0,1672165800000.0,4,jharkhand,2022
1514745000000.0,1522175400000.0,1,karnataka,2018
1522521000000.0,1530124200000.0,2,karnataka,2018
1530383400000.0,1538073000000.0,3,karnataka,2018
1538332200000.0,1545935400000.0,4,karnataka,2018
1546281000000.0,1553711400000.0,1,karnataka,2019
1554057000000.0,1561660200000.0,2,karnataka,2019
1561919400000.0,1569609000000.0,3,karnataka,2019
1569868200000.0,1577471400000.0,4,karnataka,2019
1577817000000.0,1585333800000.0,1,karnataka,2020
1585679400000.0,1593282600000.0,2,karnataka,2020
1593541800000.0,1601231400000.0,3,karnataka,2020
1601490600000.0,1609093800000.0,4,karnataka,2020
1609439400000.0,1616869800000.0,1,karnataka,2021
1617215400000.0,1624818600000.0,2,karnataka,2021
1625077800000.0,1632767400000.0,3,karnataka,2021
1633026600000.0,1640629800000.0,4,karnataka,2021
1640975400000.0,1648405800000.0,1,karnataka,2022
1648751400000.0,1656354600000.0,2,karnataka,2022
1656613800000.0,1664303400000.0,3,karnataka,2022
1664562600000.0,1672165800000.0,4,karnataka,2022
1514745000000.0,1522175400000.0,1,kerala,2018
1522521000000.0,1530124200000.0,2,kerala,2018
1530383400000.0,1538073000000.0,3,kerala,2018
1538332200000.0,1545935400000.0,4,kerala,2018
1546281000000.0,1553711400000.0,1,kerala,2019
1554057000000.0,1561660200000.0,2,kerala,2019
1561919400000.0,1569609000000.0,3,kerala,2019
1569868200000.0,1577471400000.0,4,kerala,2019
1577817000000.0,1585333800000.0,1,kerala,2020
1585679400000.0,1593282600000.0,2,kerala,2020
1593541800000.0,1601231400000.0,3,kerala,2020
1601490600000.0,1609093800000.0,4,kerala,2020
1609439400000.0,1616869800000.0,1,kerala,2021
1617215400000.0,1624818600000.0,2,kerala,2021
1625077800000.0,1632767400000.0,3,kerala,2021
1633026600000.0,1640629800000.0,4,kerala,2021
1640975400000.0,1648405800000.0,1,kerala,2022
1648751400000.0,1656354600000.0,2,kerala,2022
1656613800000.0,1664303400000.0,3,kerala,2022
1664562600000.0,1672165800000.0,4,kerala,2022
1514745000000.0,1522175400000.0,1,ladakh,2018
1522521000000.0,1530124200000.0,2,ladakh,2018
1530383400000.0,1538073000000.0,3,ladakh,2018
1538332200000.0,1545935400000.0,4,ladakh,2018
1546281000000.0,1553711400000.0,1,ladakh,2019
1554057000000.0,1561660200000.0,2,ladakh,2019
1561919400000.0,1569609000000.0,3,ladakh,2019
1569868200000.0,1577471400000.0,4,ladakh,2019
1577817000000.0,1585333800000.0,1,ladakh,2020
1585679400000.0,1593282600000.0,2,ladakh,2020
